file_path,language,extension,loc,method_count,size_bytes
tests\test_security_oauth2_optional_description.py,Python,.py,283,11,10415
tests\test_security_oauth2_password_bearer_optional.py,Python,.py,70,5,2350
tests\test_security_oauth2_password_bearer_optional_description.py,Python,.py,75,5,2501
tests\test_security_openid_connect.py,Python,.py,79,6,2594
tests\test_security_openid_connect_description.py,Python,.py,82,6,2720
tests\test_security_openid_connect_optional.py,Python,.py,82,6,2700
tests\test_security_scopes.py,Python,.py,45,7,1051
tests\test_security_scopes_dont_propagate.py,Python,.py,44,5,1017
tests\test_security_scopes_sub_dependency.py,Python,.py,107,9,3063
tests\test_serialize_response.py,Python,.py,55,6,1428
tests\test_serialize_response_dataclass.py,Python,.py,193,14,5151
tests\test_serialize_response_model.py,Python,.py,152,16,4381
tests\test_skip_defaults.py,Python,.py,125,16,3161
tests\test_sse.py,Python,.py,490,44,16023
tests\test_starlette_exception.py,Python,.py,209,11,8502
tests\test_starlette_urlconvertors.py,Python,.py,63,9,1741
tests\test_stream_bare_type.py,Python,.py,74,7,2202
tests\test_stream_cancellation.py,Python,.py,89,7,2840
tests\test_stream_json_validation_error.py,Python,.py,40,4,1031
tests\test_stream_status_code.py,Python,.py,452,12,20222
tests\test_strict_content_type_app_level.py,Python,.py,44,6,1197
tests\test_strict_content_type_nested.py,Python,.py,91,12,2867
tests\test_strict_content_type_router_level.py,Python,.py,61,9,1781
tests\test_stringified_annotations_simple.py,Python,.py,27,3,572
tests\test_stringified_annotation_dependency.py,Python,.py,79,7,2349
tests\test_stringified_annotation_dependency_py314.py,Python,.py,30,3,741
tests\test_sub_callbacks.py,Python,.py,306,5,14904
tests\test_swagger_ui_escape.py,Python,.py,37,3,1204
tests\test_swagger_ui_init_oauth.py,Python,.py,28,3,746
tests\test_top_level_security_scheme_in_openapi.py,Python,.py,60,4,1962
tests\test_translate.py,Python,.py,63,2,2158
tests\test_tuples.py,Python,.py,276,10,11306
tests\test_typing_python39.py,Python,.py,24,2,733
tests\test_union_body.py,Python,.py,134,4,5156
tests\test_union_body_discriminator.py,Python,.py,204,2,9168
tests\test_union_body_discriminator_annotated.py,Python,.py,203,7,8246
tests\test_union_forms.py,Python,.py,163,6,6156
tests\test_union_inherited_body.py,Python,.py,142,4,5569
tests\test_validate_response.py,Python,.py,82,11,2059
tests\test_validate_response_dataclass.py,Python,.py,51,6,1218
tests\test_validation_error_context.py,Python,.py,168,17,4977
tests\test_webhooks_security.py,Python,.py,137,3,5528
tests\test_wrapped_method_forward_reference.py,Python,.py,31,3,1028
tests\test_ws_dependencies.py,Python,.py,72,9,2236
tests\test_ws_router.py,Python,.py,271,33,7922
tests\utils.py,Python,.py,29,1,745
tests\__init__.py,Python,.py,0,0,0
.github\DISCUSSION_TEMPLATE\questions.yml,YAML,.yml,158,0,6125
.github\DISCUSSION_TEMPLATE\translations.yml,YAML,.yml,45,0,1739
.github\ISSUE_TEMPLATE\config.yml,YAML,.yml,16,0,942
.github\ISSUE_TEMPLATE\privileged.yml,YAML,.yml,22,0,910
.github\workflows\add-to-project.yml,YAML,.yml,21,0,547
.github\workflows\build-docs.yml,YAML,.yml,129,0,4427
.github\workflows\bump-pre-commit-hooks.yml,YAML,.yml,71,0,2565
.github\workflows\create-draft-release.yml,YAML,.yml,54,0,1901
.github\workflows\deploy-docs.yml,YAML,.yml,84,0,3307
.github\workflows\detect-conflicts.yml,YAML,.yml,22,0,645
.github\workflows\guard-dependencies.yml,YAML,.yml,53,0,2184
.github\workflows\issue-manager.yml,YAML,.yml,34,0,773
.github\workflows\label-approved.yml,YAML,.yml,50,0,1410
.github\workflows\notify-translations.yml,YAML,.yml,64,0,2182
.github\workflows\pre-commit.yml,YAML,.yml,108,0,4020
.github\workflows\prepare-release.yml,YAML,.yml,80,0,2804
.github\workflows\publish.yml,YAML,.yml,37,0,981
.github\workflows\smokeshow.yml,YAML,.yml,59,0,2110
.github\workflows\sponsors.yml,YAML,.yml,60,0,2101
.github\workflows\test-redistribute.yml,YAML,.yml,62,0,1928
.github\workflows\test.yml,YAML,.yml,332,0,12839
.github\workflows\topic-repos.yml,YAML,.yml,48,0,1488
.github\workflows\translate.yml,YAML,.yml,148,0,5443
.github\workflows\zizmor.yml,YAML,.yml,25,0,634
