token_a,token_b,similarity_before,similarity_after,change
(,@,0.1310942236377682,0.3485365241377134,0.2174423004999452
(,assert,-0.0751683361902409,0.279698016705025,0.35486635289526586
(,import,0.07914983103264449,0.263172187927304,0.1840223568946595
(,*,0.020740888167473437,0.19333627017744429,0.17259538200997085
(,{,0.1492139695879943,0.28285244817912225,0.13363847859112796
(,pytest,0.028620320935424125,0.315242493642378,0.2866221727069539
(,"""""""",0.047728041043501555,0.324588145673856,0.2768601046303545
(,==,0.14851639388722218,0.39658010695315293,0.24806371306593075
(,y,0.23574486729448554,0.4571851938979247,0.22144032660343918
(,3,0.12506106362118405,0.37416209671750056,0.2491010330963165
(,(#,-0.030864372847247277,0.1791732833639659,0.21003765621121318
(,with,0.07237561071885167,0.32724968935109605,0.25487407863224437
(,(),-0.06572498293235125,0.2084329241253879,0.2741579070577391
=,),-0.1458783983050007,0.20666464776195725,0.35254304606695797
=,-,-0.07972537004405875,0.054899367290925594,0.13462473733498434
=,"""",-0.01187989756019103,0.12886600042649307,0.1407458979866841
=,:,-0.05450668774924936,0.07585244408433633,0.1303591318335857
=,the,0.01685504912684808,0.11838728753153248,0.1015322384046844
=,#,-0.2150511363558645,-0.003365577025424553,0.21168555933043995
=,/,-0.06439185089426615,-0.046798766104111246,0.0175930847901549
=,0,-0.1429077111741243,0.18120393076892008,0.32411164194304437
=,1,-0.10225349344003089,0.13379764760818097,0.23605114104821184
=,[,-0.03657313392315839,0.16380367453086986,0.20037680845402825
=,""",",0.026726713548290582,0.2066338504562687,0.1799071369079781
=,""":",0.005151708674491987,0.12241304145442904,0.11726133277993706
=,in,-0.11860956568226723,0.0016965061345139726,0.1203060718167812
=,to,0.18190508614157824,0.2729021942145743,0.09099710807299605
=,of,-0.014450901312304915,0.1666768776465532,0.18112777895885812
=,for,0.06207712753280835,0.1469545730117161,0.08487744547890776
=,`,-0.17395580600704502,-0.07377333842938343,0.1001824675776616
=,_,0.08670733313898352,0.32488431235963067,0.23817697922064715
=,X,-0.10034410643260777,0.1740972593947223,0.27444136582733003
=,self,0.02716598602425256,0.2916798207692822,0.26451383474502965
=,a,-0.10189691996535573,0.11578868606727473,0.21768560603263046
=,from,0.10148606793918415,0.18476980862651987,0.08328374068733572
=,is,-0.07009682806872257,0.10145630010932648,0.17155312817804905
=,2,0.03569731907709301,0.2706535936235623,0.23495627454646928
=,def,-0.23832119487324382,0.05872519942283399,0.2970463942960778
=,],-0.10265356214220112,0.13129474386372053,0.23394830600592165
=,,0.036139183621469465,0.06737141141854104,0.031232227797071577
=,and,0.07222530789130356,0.17970830470310306,0.1074829968117995
=,):,-0.029621022177425512,0.24656021464942707,0.2761812368268526
=,',-0.13214183599949736,-0.033574315608016034,0.09856752039148133
=,s,0.06871792339642184,0.1996737703071276,0.13095584691070578
=,np,-0.06235235335280333,0.29620529297078657,0.3585576463235899
=,if,0.05684043832677039,0.21971968923365495,0.16287925090688457
=,@,0.09397172828636492,0.2573017616143933,0.16333003332802837
=,assert,0.05279879656423747,0.22245100695108688,0.1696522103868494
=,import,0.02627796120788448,0.2433483466331879,0.21707038542530344
=,*,-0.18215316214553484,-0.04321755281450979,0.13893560933102506
=,{,-0.038264181472951464,0.1459825665322252,0.18424674800517665
=,pytest,0.03290689560739882,0.2287761633335939,0.1958692677261951
=,"""""""",-0.18196041892475887,0.07998823555830295,0.2619486544830618
=,==,-0.07367269615487904,0.17742137249192247,0.2510940686468015
=,y,0.07043824259342704,0.3254440432025795,0.25500580060915246
=,3,0.08326667395786488,0.3244808443040927,0.2412141703462278
=,(#,0.10703277974866386,0.13145386476090712,0.024421085012243257
=,with,-0.009062029780738098,0.2104784241274199,0.21954045390815802
=,(),-0.16675934481909663,0.1598206083413649,0.3265799531604615
),-,0.06732520714284815,0.23634298510802193,0.16901777796517378
),"""",0.32297068470401924,0.3977224642640264,0.07475177956000717
),:,-0.16461923146726368,0.03690506279446188,0.20152429426172555
),the,0.06029794106873799,0.17611220957022872,0.11581426850149074
),#,-0.0035316828079138165,0.18476855783278287,0.1883002406406967
),/,-0.07318603767226577,-0.016302454215944652,0.056883583456321114
),0,0.037992183239764304,0.24721326768292012,0.20922108444315582
),1,-0.09252811591112638,0.12328325838181312,0.2158113742929395
),[,0.06607970419600044,0.24709154777077844,0.181011843574778
),""",",0.15296480226829426,0.3604461467163837,0.20748134444808944
),""":",0.06589391424487723,0.28750999777655506,0.22161608353167783
),in,0.05376389673577737,0.22284001909276072,0.16907612235698335
),to,0.023964772705219798,0.2125042723150401,0.1885394996098203
),of,0.12953371463982927,0.30465365844399367,0.1751199438041644
),for,-0.1654855147670731,0.03386937791410234,0.19935489268117546
),`,-0.02073945968913177,0.062121950534965394,0.08286141022409717
),_,-0.13740399229507488,0.15225021059435506,0.28965420288942995
),X,-0.22675733846236043,0.04207522178065463,0.26883256024301505
),self,-0.10164473992868282,0.1667743180865529,0.26841905801523575
),a,0.036217647145070656,0.2612519284162824,0.22503428127121178
),from,-0.1742287667409751,-0.04399298178671004,0.13023578495426505
),is,0.1606927731466718,0.30160028140930006,0.14090750826262827
),2,-0.11433562069531218,0.14656720305785767,0.26090282375316987
),def,0.18753810608777371,0.4528492035360154,0.26531109744824166
),],0.1537604680974519,0.28757081423569075,0.13381034613823886
),,-0.06214294490555694,-0.01646758625420286,0.04567535865135408
),and,0.005550350600637179,0.19210525695582284,0.18655490635518565
),):,-0.018142871204096644,0.19731186690802663,0.21545473811212326
),',0.18287527999944023,0.2513881505274809,0.0685128705280407
),s,0.07514750825400915,0.2735467392073613,0.19839923095335213
),np,0.1071975230579959,0.30476554887416146,0.19756802581616556
),if,-0.013083851614179205,0.24654021914977398,0.25962407076395316
),@,-0.09573556407756165,0.1595815556752043,0.25531711975276594
),assert,0.09385215880227037,0.3499122617547233,0.2560601029524529
),import,-0.102536189557527,0.043181122545868665,0.14571731210339567
),*,0.05944984800374764,0.19566361882256886,0.13621377081882122
),{,-0.012152466210036957,0.2583577608552041,0.2705102270652411
